Simulation results for 1 VNF: 

SFC Availability greedy 1: 0.9436466817732949

SFC Availability greedy 2: 0.9293819408094898

SFC availability via MCF: 0.9436466817732952


Simulation results for 31 VNF: 


SFC Availability greedy 1: 0.9487267931241755

SFC Availability greedy 2: 0.9308798489564275

SFC availability via MCF: 0.9487267931241756


SFC Availability greedy 1: 0.9349302199366994

SFC Availability greedy 2: 0.9178385208950829

SFC availability via MCF: 0.9349302199366993


SFC Availability greedy 1: 0.94448429348232

SFC Availability greedy 2: 0.9282601686829095

SFC availability via MCF: 0.9444842934823204


SFC Availability greedy 1: 0.9401147347786655

SFC Availability greedy 2: 0.9224129218990216

SFC availability via MCF: 0.9401147347786656


SFC Availability greedy 1: 0.948793566103096

SFC Availability greedy 2: 0.9314320952350936

SFC availability via MCF: 0.9487935661030957


SFC Availability greedy 1: 0.9279033812508527

SFC Availability greedy 2: 0.9104958781269941

SFC availability via MCF: 0.9279033812508524


SFC Availability greedy 1: 0.9457715666825922

SFC Availability greedy 2: 0.9270930595444834

SFC availability via MCF: 0.9457715666825918


SFC Availability greedy 1: 0.9270009555906776

SFC Availability greedy 2: 0.9069063759014112

SFC availability via MCF: 0.9270009555906776


SFC Availability greedy 1: 0.9370721831736086

SFC Availability greedy 2: 0.9220962014107227

SFC availability via MCF: 0.9370721831736087


SFC Availability greedy 1: 0.9409178934955064

SFC Availability greedy 2: 0.9198192858305295

SFC availability via MCF: 0.9409178934955061


Simulation results for 34 VNF: 


SFC Availability greedy 1: 0.934447143594545

SFC Availability greedy 2: 0.912253532415288

SFC availability via MCF: 0.934447143594545


SFC Availability greedy 1: 0.9319444014966216

SFC Availability greedy 2: 0.9098077452039852

SFC availability via MCF: 0.9319444014966215


SFC Availability greedy 1: 0.9380181916587631

SFC Availability greedy 2: 0.9147157698440164

SFC availability via MCF: 0.9380181916587633


SFC Availability greedy 1: 0.9420292553503119

SFC Availability greedy 2: 0.9240004551630544

SFC availability via MCF: 0.9420292553503123


SFC Availability greedy 1: 0.9163662613562082

SFC Availability greedy 2: 0.8982529166977915

SFC availability via MCF: 0.9163662613562076


SFC Availability greedy 1: 0.9362461725369169

SFC Availability greedy 2: 0.9169919928578064

SFC availability via MCF: 0.9362461725369171


SFC Availability greedy 1: 0.9328414817005776

